OBJECTID,year,state,st_case,veh_no,a_wrongwaydrv,a_drdis,a_drdro,a_vrd,a_body,a_imp1,a_vroll,a_lic_s,a_lic_c,a_cdl_s,a_mc_l_s,a_spveh,a_sbus,a_mod_yr,a_fire_exp,a_imp2
36408,2022,35,350257,2,2,2,2,2,3,3,2,2,2,2,4,2,3,2018,1,
36409,2022,35,350258,1,2,2,2,2,6,5,2,1,1,1,4,2,3,2019,1,
36410,2022,35,350258,2,2,2,2,1,1,2,2,1,1,2,4,1,3,2006,1,
36411,2022,35,350259,1,2,2,2,2,7,2,2,4,2,2,3,1,3,2015,1,
36412,2022,35,350259,2,2,2,2,2,6,4,2,1,1,1,4,2,3,2022,1,
36413,2022,35,350259,3,2,2,2,2,1,3,2,1,1,2,4,2,3,2018,1,
36414,2022,35,350260,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2006,1,
36415,2022,35,350260,2,2,2,2,2,3,2,1,1,1,2,4,2,3,2007,1,
36416,2022,35,350261,1,2,2,2,1,3,7,1,1,1,2,4,1,3,2019,1,
36417,2022,35,350262,1,2,2,2,1,7,7,2,4,2,2,3,1,3,2008,1,
36418,2022,35,350263,1,2,2,2,2,1,3,2,1,1,2,4,2,3,2012,1,
36419,2022,35,350263,2,2,2,2,2,6,2,1,1,1,1,4,2,3,2015,1,
